sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	standard-price-point	ProductTaxCode
NC-CCNMLK2LB	B07169YT2Y	24.95															A_FOOD_GEN
NC-CCNOIL1LB	B071L9KDF9	14.95															
NC-CCNOIL2LB	B072HXD211	21.95		21.95	fixed	4	20.99										
NC-CCNTOIL120SFG	B07K385GM2	10.95															
NC-CDP-120CAP	B07HPBP37P	26.95															
NC-CDP60CAP	B07HPB3ZYR	16.95															
NC-CFF100MG-1	B01MY5CW7S	9.99	250														
NC-CFF100MG-2	B01MU7PIAW	19.95	150														
NC-CFF100MG-3	B01MY5CNP5	27.95	150														
NC-CFF200MG120C	B01FWQ8CLA	9.99															
NC-CFFN250-A1	B01KKX0GXM	12.95															
NC-CHICKBB-CSOUP	B0875M6BGD	24.95															A_FOOD_GEN
NC-CHICKBB-UF	B08762WYDF	24.95															A_FOOD_GEN
NC-CHICORYRT120C	B08FCX5LFP	11.95															
NC-CHLOR150G	B00ZJ5WSEM	12.95															
NC-CHLR-240V	B015YB8IDA	13.95															
NC-CHLR300G-1	B00WA9HQ06	16.95															
NC-CHLRLLA-1LB	B07F186QCG	25.95															
NC-CHOL-BITART240C	B094XMC514	16.95															
NC-CHOLBI-500G	B01ASC6XS2	14.95															
NC-CHRCL-120C	B07HHHV189	13.95															
NC-CINNMN150C	B07W4MLXL7	13.95															
NC-CITACID-120C	B08L8HZBX1	10.00															
NC-CITRICACID-PWD1	B08NXXMWH7	14.95															
NC-CLA-01	B01IFF5114	16.99	250														
NC-CLA-02	B01IFF50W4	30.95	150														
NC-CLA-03	B01IFF50MY	42.95	150														
NC-CLA-240S	B01IFF5114	16.95															
NC-CLSTRM1	B01N79JO6Q	12.99	250														
NC-CLSTRM2	B01N56OWWM	24.95	36														
NC-CLSTRM3	B01MTRWNJA	35.95	24														
NC-CMONOCAP1	B01IW245EY	21.95	142														
NC-CMONOCAP2	B01IW245LW	41.95	4														
NC-COLLGN-1LB	B06XKM7P97	23.95	250														
NC-COLLGN-1LB2	B06XKKPXWZ	46.95	150														
NC-COLLGN-1LB3	B06XK15VXJ	68.95	142														
NC-COLLGN-SC-1LB	B07ZQSSP1Z	23.95															
NC-COLLGN-VAN1LB	B07ZQT6WKS	23.95															
NC-COLLGN4OZ-UF	B07QGXHMJG	10.00															
NC-COQ10120	B015TK6KVI	17.95															
NC-CRANB-01	B01N7KMPU3	11.99	170														
NC-CRANB-02	B01N6JAC1E	22.95	9														
NC-CRANB-03	B01MRZTSFZ	32.95	6														
NC-CaCIT250G-SL	B06XTGDGNN	13.95															
NC-CaCIT250GUF	B06XTYYK4J	10.95															
NC-CaCIT500G-SL	B06XTWZRVK	20.95															
NC-CaCIT500G-UF	B06XTXB5RL	14.95															
NC-D3SFG-5000	B0764MS2Q2	12.95		12.95	fixed	12	12.50										
NC-DAA300G	B00MXD78S4	16.95															
NC-DAA300G-GA	B01H5QQ5I2	16.95															
NC-DAA300gBR	B01H5QQ5JQ	16.95															
NC-DAA500G	B07D6TNWL3	24.95															
NC-DAACaps-1	B01N0ERKPQ	15.49	250	15.99	fixed	8	14.85	16	14.35	48	13.55						
NC-DAACaps-2	B01MYNPHM9	28.99	150														
NC-DAACaps-3	B01N0ERIWT	40.99	150														
NC-DHEA-100MG-120	B08HHDTGP7	18.95															
NC-DHEA-25MG-120	B08GQBQL7B	11.95															
NC-DHEA-50MG-120	B08H2JRS8W	13.95															
NC-DIGENZ-120VC	B074P9J29V	17.95															
NC-DIM120-01	B01HQR0RZW	19.95	250														
NC-DIM120-02	B01HQR0RWU	36.95	150														
NC-DIM120-03	B01HQR0RRU	53.95	150														
NC-DIM120CAP	B01HQR0RZW	18.94															
NC-DMAEBI100G	B01ASB9HCC	10.95															
NC-DMANN100G	B077SN86N9	14.95															
NC-DMANN120C	B076R2HX2V	13.95		13.95	fixed	14	13.50	28	13.10								
NC-DMANN250G	B077SN6XM3	24.95															
NC-DMANN500G	B077SYJV7L	44.95															
NC-DNGQUAI240C	B071JPSW8Q	15.95															
NC-DONGQU120C	B079BDWWPH	11.95															
NC-DRIB250G	B01MYNOHIE	16.95	250														
NC-DRIBO-240C	B07VZ171X4	15.95															
NC-DRIBO500G-1	B00WAJU464	24.95															
NC-ECH-GLDS240V	B07BDQ65BW	16.95															
NC-ECHIN240C	B07BB55F25	14.95															
NC-ELDRBRRY120CAP	B07KRBC2L3	12.95															
NC-ELDRGUMMY90	B07Q62G62G	13.95															
NC-ELECT-90PL	B08VRKV9KQ	24.95															
NC-EMPTYCAP-G0	B096J1S1TJ	13.95															
NC-EMPTYCAP-V00	B097S7D2FD	16.95															
NC-ERYTHRITOL-1LB	B08TLWB9P6	15.95															A_FOOD_GEN
NC-ESSOIL-4VAR	B07RCBL7L3	29.99	93														
NC-FAST-MELAT5MG-240T	B096D6K5D5	15.95															
NC-FNGRK240	B01A1CWDC4	13.95															
NC-FRRCHLIRN240	B0792MCYGW	14.95															
NC-FSHOIL-A1	B06XS9YJKB	15.95		14.95	fixed	50	13.99										
NC-GABA500G	B019EJ3RS4	18.95															
NC-GAR-SFG1	B074GHJ96Q	14.95															
NC-GFWPC-CH2	B074X3KJL5	31.95															
NC-GFWPC-CH5	B074XKRQLZ	62.95															
NC-GFWPC-UF2	B074XJRGBH	31.95															
NC-GFWPC-UF5	B074XG6M4W	62.95															
NC-GFWPC-V2	B074XGH56C	31.95															
NC-GFWPC-V5	B074XDYT6P	62.95															
NC-GFWPI-CH2	B0756QXWDK	36.95															
NC-GFWPI-CH5	B0756QL957	69.95															
NC-GFWPI-UF2	B0756Q6KPF	36.95															
NC-GFWPI-UF5	B0756NHJRY	69.95															
NC-GFWPI-V2	B0756QBGWF	36.95															
NC-GFWPI-V5	B0756NLGQH	69.95															
NC-GINGERRT240	B073RP5GGB	16.95															
NC-GINKGO240V	B01BCULYEC	11.95															
NC-GLCMN-180C-1	B01HQZB4K6	14.99	250														
NC-GLCMN-180C-A	B01HQZB4K6	13.95															
NC-GLDNSROOT120	B078YGT78W	15.95															
NC-GLUCSLF-CPS	B074759LBV	19.95															
NC-GLUTATH500-240	B088NDXC8N	39.95															
NC-GOTUKOLA180	B08SG6FMMV	18.95															
NC-GRAPEFRT120C	B08XYCMYQ9	12.95															
NC-GUARANA-100G	B081THJL6F	12.95															
NC-GUARANA150C	B07X2TVJJB	12.95															
NC-HIMAL_SLT-240C	B08TLH48G6	15.95															
NC-HMB120C	B07KXB2Q93	10.99															
NC-HMB250GUF	B07LHCB9FN	16.95															
NC-HOLYBSL120C	B07X43HLBD	12.95															
NC-HRNGT180C	B015QCDRMY	11.95															
NC-HUPERZA-240C	B089NB9KRH	19.95															
NC-HYAL100MG120C	B07X7J7GVK	13.95															
